,Name,style,IBU,ABV,Description
459,Uncalled Four,Belgian Quadrupel,32,13.5,"Barreal Aged version of our 4th Year Beer, or “Quadruple,"" which is inspired by the traditional Trappist strong ales produced in the abbey breweries of Belgium. Brewed with Pilsner, Munich, and Caramunich malts, the resulting beer has a deep chestnut hue. Rich flavors and aromas of fresh bread, dark fruits, honey and brown sugar are up front with the Belgian yeast strain contributing a punch of spice and fruity esters wafting up with every sip.

German Magnum and Cascade hops impart an earthy, spicy hop character. Hops are definitely not the star of the show here - just enough bitterness and flavor to ensure balance in the finished product. Dextrose and dark Belgian candi sugar boost the sugar concentration and impart a dried fruit character to this huge ale. Chamomile flowers to add to the complex aromas we have already imparted. Read Less"
467,20th Anniversary Ale,Belgian Strong Dark Ale,28,11.5,Belgian Strong Dark Ale
472,Bourbon Barrel Adoration (2020),Belgian Strong Dark Ale,13,12.7,"Savor the season of sharing. Brewed with roasted specialty malts and a robust blend of spices, then aged in bourbon barrels for at least six months, Bourbon Barrel Adoration celebrates the Belgian tradition of spiced Noël ales.

This beer pours a deep mahogany with a dense tan head. Aromas of coconut and chocolate are followed by subtle notes of vanilla, caramel, and spice, with hints of oak and bourbon. Barrel aging tames the assertive spicing and leads to delightful drinkability. Read Less"
475,Fitzcarraldo Barrel Aged Reserve (2016),Belgian Strong Dark Ale,25,11.2,"In time for Zwickelmania 2016, we are excited to release a special ‘cuvee,’ a special blend of beers created by our brewers. The finished blend is a beer we’ve named Fitzcarraldo. The majority of the blend is a Belgian dark strong ale that spent over 18 months in Bourbon barrels. The extended aging allowed for soft and complex oxidative flavors to come out– there are notes of fig, date, and port. As the beer mellowed, the classic Belgian yeast profile did as well: it shows light notes of clove and red currant. This was blended with a small portion of a Bourbon barrel-aged stout that had spent 12 months in barrels. This beer added some sweetness and richness of body to the blend. Finally, to brighten and enliven the beer, the brewers chose to add a dash of Toro Red, our smoky amber ale. The young beer gives the blend a vibrancy that is uncommon and welcome in a blend of older beers. Read Less"
477,Barrel Aged Inspiration,Belgian Strong Dark Ale,45,10.2,Belgian Strong Dark Ale
478,Twenty Five,Belgian Strong Dark Ale,38,14.5,"Belgian style oak aged dark ale, brewed with honey, dates, a"
482,Cognac Barrel Aged Belgian Style Dark Ale,Belgian Strong Dark Ale,38,10.3,Belgian Strong Dark Ale
483,Bourbon Barrel Tax Holiday,Belgian Strong Dark Ale,20,10.5,Belgian Strong Dark Ale
484,Absolutely Okay,Belgian Strong Dark Ale,40,12.9,Belgian Strong Dark Ale
485,Code Switch,Belgian Strong Dark Ale,18,14.5,Belgian Strong Dark Ale
489,Never Again Ale,Belgian Strong Dark Ale,25,11.6,Belgian Strong Dark Ale
490,Bourbon Evil Urges,Belgian Strong Dark Ale,40,10.3,Belgian Strong Dark Ale
492,Barrel Aged Mastodon,Belgian Strong Dark Ale,28,12.7,Belgian Strong Dark Ale
493,Seven Hundred Thirty Bourbon Barrel Aged,Belgian Strong Dark Ale,40,11.2,"In 2013 we brewed SEVEN HUNDRED THIRTY, our second anniversary ale, which again started with a Belgian-style quad, but into which we blended barrel aged dark Belgian-style beers, including the 365 which had spent the past year in bourbon barrels. We bottled most of this blend and released it, but racked a portion of the finished blend into oak bourbon barrels until we were approaching our third anniversary. Read Less"
494,Barrel Aged Awkward Exchange,Belgian Strong Dark Ale,17,11.1,Belgian Strong Dark Ale
495,Tasting Room - Bourbon Barrel Belgian-Style Dark Ale,Belgian Strong Dark Ale,16,11.9,"Rich malt character is bolstered by brown sugar and Belgian candi syrup. Notes of port wine, apricot, leather and oak are present, with barrel flavors and tannins giving it more depth and complexity. Read Less"
499,Raison D'Extra,Belgian Strong Dark Ale,40,16.5,"A bigger, bolder version of our Raison D'Etre. This is a bulbous brown ale brewed with a bunch of malt, brown sugar a"
503,Mad Elf Grand Cru,Belgian Strong Dark Ale,15,11.0,Belgian Strong Dark Ale
506,The Beast Grand Cru,Belgian Strong Dark Ale,63,16.8,"The Beast is a seducer - accomodating, complicated, powerful, dark and created to last the ages. Beyond this, it’s futile to attempt to describe Him. He will unveil Himself differently to each of His followers. The mark is in His constitution. Brewed with two-row malted barley, honey malt, and imported Belgian specialty grains (aromatic, pale wheat, roasted wheat, and Special B), hops (Magnum, Galena, Saaz, Hallertau, Tettnang, and Hersbrucker), brewing sugars (raisins, dates, blackstrap molasses, alfalfa honey, turbinado, and dark Belgian candy sugar), water, Belgian yeast and another hellion of a yeast strain.OG: 1.138
Batch 1 (2004): 15.7% ABV
Batch 2 (2004): 18.1% ABV
Batch 3 (2005): 14.9% ABV
Batch 4 (2006): 14.6% ABV
Batch 5 (2007): 16.42% ABV
Batch 6 (2008): 16.31% ABV
Batch 7 (2009): 15.07% ABV
Batch 8 (2010): 16.21% ABV
Batch 9 (2011): 16.83% ABV
Batch 10 (2012): 16.0% ABV
Batch 11 (2013): 18.0% ABV Read Less"
508,Pinot Suave,Belgian Strong Dark Ale,15,11.2,Belgian-style ale aged in pinot barrels with grape 
511,Home At Port,Belgian Strong Dark Ale,20,12.6,Belgian-Style Dark Strong Ale aged in first-fill Tawny P
516,Bourbon Barrel No Sparge,Belgian Strong Golden Ale,32,12.5,Belgian Strong Golden Ale
521,BJ's 22nd Annual Grand Cru,Belgian Strong Golden Ale,11,10.5,Belgian Strong Golden Ale
525,Brandy Barrel Aged Alpha Kong,Belgian Strong Golden Ale,71,10.5,Belgian Strong Golden Ale
526,Xellensis,Belgian Strong Golden Ale,35,8.8,100% Brettanomyces Bruxellensis fermented
529,Kentucky Friar,Belgian Strong Golden Ale,41,11.8,Belgian Strong Golden Ale
537,Divine Reserve No. 14,Belgian Strong Golden Ale,30,10.0,"The goal of this beer was to make a Belgian/American hybrid using west coast American hops and rye to emulate the fruit and spices often found in Belgian beers. The beer pours a bright golden color. The nose is a mixture of phenolics from the Belgian wit yeast and light citrus from the American hops with a touch of graininess. Rye adds sweetness and complexity to the pilsner and aromatic malts. The spice of the rye is somewhat subdued at lower temperatures but becomes more apparent as the beer warms. Cascade and centennial hops were used for both flavor and aroma, adding floral and citrus notes to play off the strengths of the yeast. Belgian candi sugar was added during fermentation to bump up the alcohol while allowing the beer to avoid finishing too sweet. The dry finish hides the 10% alcohol nicely and makes you want to take another sip. This beer is best enjoyed at 50°F to 55°F. Read Less"
538,Damnation,Belgian Strong Golden Ale,29,7.5,Belgian Strong Golden Ale
539,Sun Hands Belgian Summer Golden,Belgian Strong Golden Ale,48,10.0,Belgian Strong Golden Ale
540,BJ's 21st Annual Grand Cru,Belgian Strong Golden Ale,11,10.0,Belgian Strong Golden Ale
542,Brah'klava,Belgian Strong Golden Ale,16,11.1,Belgian Strong Golden Ale
545,Class Of '88 Belgian Style Ale,Belgian Strong Golden Ale,7,11.2,"The Class of ‘88 Belgian Style Ale was brewed in collaboration with Deschutes Brewery to celebrate both of our silver anniversary this year. Our Class of ‘88 beer is brewed with whole flower Mt Hood hops, which were first introduced in 1988, then transferred to Muscat casks and aged with Michigan Riesling Grape juice and Oregon Pinot Noir grape must. The result is a golden belgian strong ale with a pleasant aroma of semi-sweet Riesling grapes and fresh green hops, complemented by a touch of tartness that is quickly cut by a bright, dry finish reminiscent of a refreshing white wine. Read Less"
547,Mélange a Trois,Belgian Strong Golden Ale,31,11.3,Belgian Strong Golden Ale
548,Barrel Aged Requited,Belgian Strong Golden Ale,38,15.4,Belgian Strong Golden Ale
552,16th Anniversary Ale,Belgian Strong Golden Ale,34,16.0,Brewed for 16th anniversary pa
554,No Sparge Imperial Golden,Belgian Strong Golden Ale,32,12.0,Belgian Strong Golden Ale
556,Bourbon Barrel Aged Barmy Ale,Belgian Strong Golden Ale,25,13.5,Elijah Craig aged Golden Strong Ale with apricot
557,Bon Vivant,Belgian Strong Golden Ale,25,8.4,Belgian Strong Golden Ale
559,Bourbon Barrel InvEster,Belgian Strong Golden Ale,13,9.0,Belgian Strong Golden Ale
564,Saint Toddy,Belgian Tripel,30,11.0,Belgian Tripel
566,Pirogue Belgian Black Tripel Brewed with Coffee aged in Bourbon Barrels,Belgian Tripel,24,10.0,Belgian Tripel
567,Curieux,Belgian Tripel,27,10.2,Belgian Tripel
568,Rêve,Belgian Tripel,38,10.3,Belgian Tripel
569,Batch 1000 Lemon Ice Tripel,Belgian Tripel,20,17.1,Belgian Tripel
572,Grand Cru,Belgian Tripel,25,12.0,Belgian Tripel
573,Cerberus (Bourbon Barrel Aged),Belgian Tripel,31,12.0,Belgian Tripel
574,Barrel-Aged Tripel Dog Dare,Belgian Tripel,30,9.5,Belgian Tripel
575,Tripel Treat,Belgian Tripel,24,11.7,Belgian Tripel
576,Tripel Whiskey,Belgian Tripel,30,9.0,We aged our Belgian Tripel in Watershed Bourbon barrels for 14 months! Sweet honey notes blend wonderfully with rich oak a
589,Barrel & Bean,Belgian Tripel,18,9.6,Belgian Tripel
590,Devil's Share (Mysterium Verum),Belgian Tripel,36,8.1,"Base beer — Devil’s Backbone Barrels — medium toast plus American oak red wine. Maturation — 6-12 months Tasting Notes — Caramel, vanill"
593,The Tide and Its Takers,Belgian Tripel,30,9.0,Belgian Tripel
597,Saint Dymphna,Belgian Tripel,34,8.6,"The sixth release in our limited Legendary Series pays homage to the patron saint of Geel, Belgium, who devoted her life to helping the mentally ill. This classic Belgian-Style Tripel incorporates a touch of linden flowers, adding a subtle bouquet to the complex flavor. It’s strong yet light and full of conviction, like the fair Saint Dymphna. Read Less"
599,A Lost Epic,Belgian Tripel,25,11.0,Belgian Tripel
600,Mezcal Barrel Exemption,Belgian Tripel,30,9.0,Belgian Tripel
602,Goldenbear Tripel,Belgian Tripel,23,10.2,Belgian Tripel
603,Torn Paper Leaves (White Oak & Red Grape),Belgian Tripel,38,9.2,NC malt tripel aged in red wine oak barrels with bre
604,Final Absolution,Belgian Tripel,30,10.0,Belgian Tripel
605,Insidious Monk,Belgian Tripel,25,8.5,Belgian Tripel
608,Seme Della Vita,Belgian Tripel,35,9.8,Belgian-ish Tripel with pistachios and van
609,Marvella,Belgian Tripel,18,11.0,Belgian Tripel
611,Monk's Indiscretion,Belgian Tripel,24,10.0,"Dry hopped, and fermented with an aromatic Belgian yeast strain, Monk's Indiscretion has an intense tropical hoppy aroma and flavor, with balanced bitterness, and is scarily drinkable for such a strong beer. Read Less"
614,BGH10,Bière de Champagne / Bière Brut,10,7.2,Bière de Champagne / Bière Brut
624,Nash Year's Eve (2017),Bière de Champagne / Bière Brut,17,12.1,"This champagne-inspired Imperial Blonde Ale is brewed in honor of Steve's first-born son, Nash, who was born on New Year's Eve. It was re-fermented with champagne yeast and conditioned on 38.5 pounds of white grape puree for over a month to achieve that perfect juicy tang flavor. Read Less"
625,Lucada,Bière de Champagne / Bière Brut,7,5.3,Lucada - n. (lu-cah-duh) a conjunction of Joe's daughter name (Ada) and her best friend's (Luca). See also a sparkling Brut Rosé Style Ale w/Hibiscus and Pomegranate. Read Less
626,Brut Force,Bière de Champagne / Bière Brut,14,13.5,Aroma is filled with notes of dried dark fruit and warming alcohol. Apricot and date fruit notes continue mid-palette with a refreshing amount of carbonation. Finish is dry with lingering fruit notes. Read Less
627,Royalty,Bière de Champagne / Bière Brut,35,11.0,"Indulge in Royalty a luxurious Belgian-inspired golden ale, fermented with champagne yeast. Boutique European hops and Champagne yeast present refreshing aromas of grape must and tropical fruits, released by playful bubbles from bottle conditioning. Read Less"
628,Saison Champenoise,Bière de Champagne / Bière Brut,18,6.0,Classic Saison finished in the style o
632,Jubilee,Bière de Champagne / Bière Brut,20,12.0,Bière de Champagne / Bière Brut
